Post,Ambassador,Career/Political,Status
Panama,John D. Feeley,Career,confirmed 12/9/15
"Papua New Guinea, Solomon Islands & Vanuatu",Catherine Ebert-Gray,Career,confirmed 12/9/15
Paraguay,VACANT,,
Peru,Krishna Urs,Career,confirmed 8/3/17
Philippines,Sung Y. Kim,Career,confirmed 9/28/16
Poland,Paul W. Jones,Career,confirmed 8/5/15
Portugal,George E. Glass,Political,confirmed 8/3/17
Qatar,VACANT,,
Romania,Hans G. Klemm,Career,confirmed 8/5/15
Russia,"NOMINATED: Jon Huntsman, Jr.",Political,nominated 7/20/17
Rwanda,Erica Barks-Ruggles,Career,confirmed 11/17/14
Saudi Arabia,VACANT,,
Senegal & Guinea-Bissau,Tulinabo Salama Mushingi,Career,confirmed 5/18/17
Serbia,Kyle R. Scott,Career,confirmed 12/9/15
Sierra Leone,Maria Brewer,Career,confirmed 8/3/17
Singapore,NOMINATED: K.T. McFarland,Political,nominated 6/15/17
Slovakia,Adam Sterling,Career,confirmed 5/17/16
Somalia,Stephen Michael Schwartz,Career,confirmed 5/17/16
Slovenia,Brent Robert Hartley,Career,confirmed 11/20/14
South Africa,VACANT,,
South Korea,VACANT,,
South Sudan,NOMINATED: Thomas Hushek,Career,nominated 8/3/17
Spain & Andorra,NOMINATED: Duke Buchan III,Political,nominated 8/3/17
Sri Lanka & Maldives,Atul Keshap,Career,confirmed 8/5/15
Sudan,VACANT*,,
Suriname,"Edwin Richard Nolan, Jr.",Career,confirmed 10/8/15
Swaziland,Lisa J. Peterson,Career,confirmed 11/19/15
Sweden,VACANT,,
Switzerland & Liechtenstein,VACANT,,
Syria,VACANT*,,
Tajikistan,Elisabeth I. Millard,Career,confirmed 11/19/15
Tanzania,VACANT,,
Thailand,Glyn T. Davies,Career,confirmed 8/5/15
Timor-Leste,NOMINATED: Kathleen Fitzpatrick,Career,nominated 7/27/17
Togo,David R. Gilmour,Career,confirmed 10/8/15
Trinidad and Tobago,VACANT,,
Tunisia,Daniel Rubinstein,Career,confirmed 10/8/15
Turkey,VACANT,,
Turkmenistan,Allan Mustard,Career,confirmed 11/19/14
Uganda,Deborah R. Malac,Career,confirmed 11/19/15
Ukraine,Marie L. Yovanovitch,Career,confirmed 7/14/16
United Arab Emirates,Barbara A. Leaf,Career,confirmed 11/17/14
United Kingdom,Robert Wood Johnson IV,Political,confirmed 8/3/17
United Nations,Nikki Haley,Political,confirmed 1/24/17
UN / Conf. on Disarmament,Robert A. Wood,Career,confirmed 7/15/14
UN / Deputy Representative,VACANT,,
UN / Economic & Social Council,Kelley Eckels Currie,Political,confirmed 8/3/17
UN / Geneva,VACANT,,
UN / Human Rights Council,VACANT,,
UN / Management & Reform,VACANT,,
UN / Political Affairs,NOMINATED: Jay Patrick Murray,Political,nominated 5/10/17
UN / Rome,VACANT,,
UN / Vienna,VACANT,,
UNESCO,VACANT,,
Uruguay,Kelly Keiderling-Franz,Career,confirmed 5/17/16
Uzbekistan,Pamela Spratlen,Career,confirmed 11/20/14
Venezuela,VACANT,,
Vietnam,NOMINATED: Daniel Kritenbrink,Career,nominated 7/27/17
Yemen,VACANT,,
Zambia,Eric T. Schultz,Career,confirmed 9/17/14
Zimbabwe,"Harry K. Thomas, Jr.",Career,confirmed 10/22/15
